t,x,v,a,id,lane,oldLane,pos,event,Vehicle
0,0,0,0,0,0,-1,1700,lane info,No vehicle yet
0,0,0,0,0,1,-1,300,lane info,No vehicle yet
0,0,0,0,0,2,-1,1000,lane info,No vehicle yet
0,0,0,0,0,3,-1,1700,lane info,No vehicle yet
0,0,0,0,0,4,-1,300,lane info,No vehicle yet
0,0,0,0,0,5,-1,1000,lane info,No vehicle yet
0,0,0,0,0,6,-1,1700,lane info,No vehicle yet
0,0,0,0,0,7,-1,300,lane info,No vehicle yet
13.380743928495914,0,22.22222222222222,0,0,-1,-1,0,start,electric car
13.380743928495914,0,22.22222222222222,0,0,0,-1,0,enter lane,electric car
13.380743928495914,0,22.22222222222222,0,333,-1,-1,0,start,HGV
13.380743928495914,0,22.22222222222222,0,333,6,-1,0,enter lane,HGV
14,13.76,22.222334673326106,0.00036318127203808923,0,0,-1,13.76,timer,electric car
14,13.76,22.222380357366987,0.0005107261827256497,333,6,-1,13.76,timer,HGV
15,36.43,22.82501134142197,-0.00035948528332879585,0,0,-1,36.43,timer,electric car
15,35.75,21.90943335024268,0.00030513780969447377,333,6,-1,35.75,timer,HGV
16,59.25,22.82429237085531,-0.0010784558499863902,0,0,-1,59.25,timer,electric car
16,57.66,21.910043625862066,0.0009154134290834234,333,6,-1,57.66,timer,HGV
17,82.07,22.822854429721996,-0.0017974264166439845,0,0,-1,82.07,timer,electric car
17,79.57,21.911264177100843,0.001525689048472373,333,6,-1,79.57,timer,HGV
18,104.89,22.820697518022023,-0.002516396983301579,0,0,-1,104.89,timer,electric car
18,101.48,21.913095003959008,0.002135964667861323,333,6,-1,101.48,timer,HGV
19,127.71,22.81782163575539,-0.003235367549959173,0,0,-1,127.71,timer,electric car
19,123.39,21.915536106436562,0.0027462402872502727,333,6,-1,123.39,timer,HGV
20,150.53,22.814226782922102,-0.003954338116616767,0,0,-1,150.53,timer,electric car
20,145.31,21.918587484533507,0.0033565159066392225,333,6,-1,145.31,timer,HGV
21,173.34,22.809912959522155,-0.004673308683274362,0,0,-1,173.34,timer,electric car
21,167.23,21.92224913824984,0.003966791526028172,333,6,-1,167.23,timer,HGV
22,196.15,22.804880165555552,-0.005392279249931956,0,0,-1,196.15,timer,electric car
22,189.15,21.92652106758556,0.004577067145417122,333,6,-1,189.15,timer,HGV
23,218.95,22.79912840102229,-0.00611124981658955,0,0,-1,218.95,timer,electric car
23,211.08,21.93140327254067,0.005187342764806071,333,6,-1,211.08,timer,HGV
24,241.75,22.79265766592237,-0.006830220383247145,0,0,-1,241.75,timer,electric car
24,233.01,21.93689575311517,0.0057976183841950205,333,6,-1,233.01,timer,HGV
25,264.54,22.78576565001892,-0.006894927734246331,0,0,-1,264.54,timer,electric car
25,254.95,21.94299850930906,0.00640789400358397,333,6,-1,254.95,timer,HGV
26,287.32,22.778870722284672,-0.006894927734246331,0,0,-1,287.32,timer,electric car
26,276.89,21.94956202359559,0.006590976689400657,333,6,-1,276.89,timer,HGV
27,310.1,22.771975794550425,-0.006894927734246331,0,0,-1,310.1,timer,electric car
27,298.84,21.956153000284992,0.006590976689400657,333,6,-1,298.84,timer,HGV
28,332.87,22.765080866816177,-0.006894927734246331,0,0,-1,332.87,timer,electric car
28,320.8,21.962743976974394,0.006590976689400657,333,6,-1,320.8,timer,HGV
29,355.63,22.75818593908193,-0.006894927734246331,0,0,-1,355.63,timer,electric car
29,342.77,21.969334953663797,0.006590976689400657,333,6,-1,342.77,timer,HGV
29.59951234079011,0,22.22222222222222,0,1,-1,-1,0,start,electric car
29.59951234079011,0,22.22222222222222,0,1,0,-1,0,enter lane,electric car
29.59951234079011,0,22.22222222222222,0,334,-1,-1,0,start,HGV
29.59951234079011,0,22.22222222222222,0,334,6,-1,0,enter lane,HGV
30,378.38,22.751291011347686,-0.006894927734246331,0,0,-1,378.38,timer,electric car
30,364.74,21.9759259303532,0.006590976689400657,333,6,-1,364.74,timer,HGV
30,8.9,22.22222297265972,3.747618583993472e-06,1,0,-1,8.9,timer,electric car
30,8.9,22.222264804401576,0.000212651642937246,334,6,-1,8.9,timer,HGV
31,401.12,22.74439608361344,-0.006894927734246331,0,0,-1,401.12,timer,electric car
31,386.72,21.982516907042598,0.006590976689400657,333,6,-1,386.72,timer,HGV
31,30.86,21.87162660875742,-0.0003346266470980309,1,0,-1,30.86,timer,electric car
31,31.62,22.90031841401697,-0.0006171207666326082,334,6,-1,31.62,timer,HGV
32,423.86,22.737501155879194,-0.006894927734246331,0,0,-1,423.86,timer,electric car
32,408.71,21.989107883732,0.006590976689400657,333,6,-1,408.71,timer,HGV
32,52.73,21.870957355463222,-0.0010038799412940926,1,0,-1,52.73,timer,electric car
32,54.52,22.89902676884735,-0.0019661695726006,334,6,-1,54.52,timer,HGV
32,423.86,22.737501155879194,-0.006894927734246331,0,0,-1,423.86,change slow,electric car
32,423.86,22.737501155879194,-0.006894927734246331,0,6,0,423.86,enter lane 6,electric car
33,447.1,23.737501155879194,1,0,6,0,447.1,timer,electric car
33,430.7,21.995698860421403,0.006590976689400657,333,6,-1,430.7,timer,HGV
33,74.6,21.86961884887483,-0.0016731332354901545,1,0,-1,74.6,timer,electric car
33,77.42,22.896386074871764,-0.0033152183785685923,334,6,-1,77.42,timer,HGV
34,471.34,24.737501155879194,1,0,6,0,471.34,timer,electric car
34,452.7,22.002289837110805,0.006590976689400657,333,6,-1,452.7,timer,HGV
34,96.47,21.86761108899224,-0.0023423865296862165,1,0,-1,96.47,timer,electric car
34,100.31,22.89239633209021,-0.0046642671845365845,334,6,-1,100.31,timer,HGV
35,496.58,25.737501155879194,1,0,6,0,496.58,leave lane 0,electric car
35,496.58,25.737501155879194,0,0,6,-1,496.58,done change slow,electric car
35,496.58,25.737501155879194,0,0,6,-1,496.58,timer,electric car
35,474.71,22.008880813800207,0.006590976689400657,333,6,-1,474.71,timer,HGV
35,118.34,21.864934075815455,-0.0030116398238822784,1,0,-1,118.34,timer,electric car
35,123.2,22.88705754050269,-0.006013315990504577,334,6,-1,123.2,timer,HGV
36,522.32,25.735824911521533,-0.0033524887153195773,0,6,-1,522.32,timer,electric car
36,496.72,22.01547179048961,0.006590976689400657,333,6,-1,496.72,timer,HGV
36,140.2,21.861587809344474,-0.0036808931180783403,1,0,-1,140.2,timer,electric car
36,146.08,22.8803697001092,-0.007362364796472569,334,6,-1,146.08,timer,HGV
37,548.05,25.730796178448553,-0.0067049774306391545,0,6,-1,548.05,timer,electric car
37,518.74,22.022062767179012,0.006590976689400657,333,6,-1,518.74,timer,HGV
37,162.06,21.857572289579295,-0.004350146412274402,1,0,-1,162.06,timer,electric car
37,168.96,22.872332810909743,-0.00871141360244056,334,6,-1,168.96,timer,HGV
38,573.78,25.722414956660252,-0.010057466145958732,0,6,-1,573.78,timer,electric car
38,540.77,22.028653743868414,0.006590976689400657,333,6,-1,540.77,timer,HGV
38,183.92,21.85288751651992,-0.005019399706470464,1,0,-1,183.92,timer,electric car
38,191.83,22.862946872904317,-0.010060462408408553,334,6,-1,191.83,timer,HGV
39,599.5,25.710681246156632,-0.013409954861278309,0,6,-1,599.5,timer,electric car
39,562.8,22.035244720557817,0.006590976689400657,333,6,-1,562.8,timer,HGV
39,205.77,21.847533490166352,-0.005688653000666525,1,0,-1,205.77,timer,electric car
39,214.69,22.852224629325647,-0.011224086065653694,334,6,-1,214.69,timer,HGV
40,625.2,25.695595046937694,-0.016762443576597886,0,6,-1,625.2,timer,electric car
40,584.84,22.04183569724722,0.006590976689400657,333,6,-1,584.84,timer,HGV
40,227.61,21.841510210518585,-0.006357906294862587,1,0,-1,227.61,timer,electric car
40,237.54,22.841000543259995,-0.011224086065653694,334,6,-1,237.54,timer,HGV
41,650.89,25.677156359003433,-0.020114932291917464,0,6,-1,650.89,timer,electric car
41,606.89,22.04842667393662,0.006590976689400657,333,6,-1,606.89,timer,HGV
41,249.45,21.834817677576623,-0.007027159589058648,1,0,-1,249.45,timer,electric car
41,260.38,22.829776457194342,-0.011224086065653694,334,6,-1,260.38,timer,HGV
42,676.56,25.655365182353854,-0.023467421007237043,0,6,-1,676.56,timer,electric car
42,628.94,22.055017650626024,0.006590976689400657,333,6,-1,628.94,timer,HGV
42,271.28,21.827455891340467,-0.0076964128832547095,1,0,-1,271.28,timer,electric car
42,283.2,22.81855237112869,-0.011224086065653694,334,6,-1,283.2,timer,HGV
43,702.2,25.630221516988957,-0.02681990972255662,0,6,-1,702.2,timer,electric car
43,651.0,22.061608627315426,0.006590976689400657,333,6,-1,651.0,timer,HGV
43,293.1,21.819649854767622,-0.007816878476210001,1,0,-1,293.1,timer,electric car
43,306.01,22.807328285063036,-0.011224086065653694,334,6,-1,306.01,timer,HGV
44,727.82,25.601725362908738,-0.0301723984378762,0,6,-1,727.82,timer,electric car
44,673.06,22.06819960400483,0.006590976689400657,333,6,-1,673.06,timer,HGV
44,314.92,21.811832976291413,-0.007816878476210001,1,0,-1,314.92,timer,electric car
44,328.81,22.796104198997384,-0.011224086065653694,334,6,-1,328.81,timer,HGV
45,753.41,25.5698767201132,-0.03352488715319578,0,6,-1,753.41,timer,electric car
45,695.13,22.07479058069423,0.006590976689400657,333,6,-1,695.13,timer,HGV
45,336.73,21.804016097815204,-0.007816878476210001,1,0,-1,336.73,timer,electric car
45,351.6,22.78488011293173,-0.011224086065653694,334,6,-1,351.6,timer,HGV
45.810099275556865,0,22.22222222222222,0,2,-1,-1,0,start,electric car
45.810099275556865,0,22.22222222222222,0,2,0,-1,0,enter lane,electric car
45.810099275556865,0,22.22222222222222,0,335,-1,-1,0,start,HGV
45.810099275556865,0,22.22222222222222,0,335,6,-1,0,enter lane,HGV
46,778.96,25.534675588602344,-0.03687737586851536,0,6,-1,778.96,timer,electric car
46,717.2,22.081381557383633,0.006590976689400657,333,6,-1,717.2,timer,HGV
46,358.53,21.796199219338995,-0.007816878476210001,1,0,-1,358.53,timer,electric car
46,374.37,22.773656026866075,-0.011224086065653694,334,6,-1,374.37,timer,HGV
46,4.22,22.222236995193338,0.00015558625340489425,2,0,-1,4.22,timer,electric car
46,4.22,22.22222922179447,7.371822588240328e-05,335,6,-1,4.22,timer,HGV
47,804.48,25.49776485547111,-0.036910900755668545,0,6,-1,804.48,timer,electric car
47,739.28,22.087972534073035,0.006590976689400657,333,6,-1,739.28,timer,HGV
47,380.33,21.788382340862782,-0.007816878476210001,1,0,-1,380.33,timer,electric car
47,397.14,22.762431940800422,-0.011224086065653694,334,6,-1,397.14,timer,HGV
47,26.14,21.81609006040696,0.0003322477128765535,2,0,-1,26.14,timer,electric car
47,26.56,22.380040526840467,-0.0001417519554860289,335,6,-1,26.56,timer,HGV
48,829.96,25.460853954715443,-0.036910900755668545,0,6,-1,829.96,timer,electric car
48,761.37,22.094563510762438,0.006590976689400657,333,6,-1,761.37,timer,HGV
48,402.11,21.780565462386573,-0.007816878476210001,1,0,-1,402.11,timer,electric car
48,419.9,22.75120785473477,-0.011224086065653694,334,6,-1,419.9,timer,HGV
48,47.96,21.816754555832713,0.0009967431386296512,2,0,-1,47.96,timer,electric car
48,48.94,22.379757022929496,-0.0004252558664580827,335,6,-1,48.94,timer,HGV
49,855.4,25.423943053959775,-0.036910900755668545,0,6,-1,855.4,timer,electric car
49,783.47,22.10115448745184,0.006590976689400657,333,6,-1,783.47,timer,HGV
49,423.89,21.772748583910364,-0.007816878476210001,1,0,-1,423.89,timer,electric car
49,442.65,22.739983768669116,-0.011224086065653694,334,6,-1,442.65,timer,HGV
49,69.78,21.818083546684218,0.0016612385643827486,2,0,-1,69.78,timer,electric car
49,71.32,22.379190015107554,-0.0007087597774301365,335,6,-1,71.32,timer,HGV
50,880.81,25.387032153204107,-0.036910900755668545,0,6,-1,880.81,timer,electric car
50,805.57,22.107745464141242,0.006590976689400657,333,6,-1,805.57,timer,HGV
50,445.66,21.764931705434154,-0.007816878476210001,1,0,-1,445.66,timer,electric car
50,465.38,22.728759682603464,-0.011224086065653694,334,6,-1,465.38,timer,HGV
50,91.6,21.820077032961475,0.002325733990135846,2,0,-1,91.6,timer,electric car
50,93.7,22.378339503374637,-0.0009922636884021905,335,6,-1,93.7,timer,HGV
51,906.18,25.35012125244844,-0.036910900755668545,0,6,-1,906.18,timer,electric car
51,827.68,22.114336440830645,0.006590976689400657,333,6,-1,827.68,timer,HGV
51,467.42,21.757114826957945,-0.007816878476210001,1,0,-1,467.42,timer,electric car
51,488.1,22.71753559653781,-0.011224086065653694,334,6,-1,488.1,timer,HGV
51,113.42,21.822735014664488,0.0029902294158889436,2,0,-1,113.42,timer,electric car
51,116.08,22.37720548773075,-0.0012757675993742444,335,6,-1,116.08,timer,HGV
52,931.51,25.31321035169277,-0.036910900755668545,0,6,-1,931.51,timer,electric car
52,849.8,22.120927417520047,0.006590976689400657,333,6,-1,849.8,timer,HGV
52,489.17,21.749297948481736,-0.007816878476210001,1,0,-1,489.17,timer,electric car
52,510.81,22.70631151047216,-0.011224086065653694,334,6,-1,510.81,timer,HGV
52,135.24,21.826057491793254,0.003654724841642041,2,0,-1,135.24,timer,electric car
52,138.46,22.37578796817589,-0.0015592715103462983,335,6,-1,138.46,timer,HGV
53,956.8,25.276299450937103,-0.036910900755668545,0,6,-1,956.8,timer,electric car
53,871.92,22.12751839420945,0.006590976689400657,333,6,-1,871.92,timer,HGV
53,510.92,21.741481070005527,-0.007816878476210001,1,0,-1,510.92,timer,electric car
53,533.51,22.695087424406506,-0.011224086065653694,334,6,-1,533.51,timer,HGV
53,157.07,21.830044464347772,0.0043192202673951385,2,0,-1,157.07,timer,electric car
53,160.83,22.374086944710058,-0.0018427754213183522,335,6,-1,160.83,timer,HGV
54,982.06,25.239388550181435,-0.036910900755668545,0,6,-1,982.06,timer,electric car
54,894.05,22.13410937089885,0.006590976689400657,333,6,-1,894.05,timer,HGV
54,532.66,21.733664191529318,-0.007816878476210001,1,0,-1,532.66,timer,electric car
54,556.2,22.683863338340853,-0.011224086065653694,334,6,-1,556.2,timer,HGV
54,178.9,21.834695932328042,0.004983715693148236,2,0,-1,178.9,timer,electric car
54,183.2,22.372102417333252,-0.002126279332290406,335,6,-1,183.2,timer,HGV
55,1007.28,25.202477649425767,-0.036910900755668545,0,6,-1,1007.28,timer,electric car
55,916.19,22.140700347588254,0.006590976689400657,333,6,-1,916.19,timer,HGV
55,554.39,21.72584731305311,-0.007816878476210001,1,0,-1,554.39,timer,electric car
55,578.88,22.6726392522752,-0.011224086065653694,334,6,-1,578.88,timer,HGV
55,200.74,21.840009769348704,0.0055950514848410815,2,0,-1,200.74,timer,electric car
55,205.57,22.369834386045476,-0.00240978324326246,335,6,-1,205.57,timer,HGV
56,1032.46,25.1655667486701,-0.036910900755668545,0,6,-1,1032.46,timer,electric car
56,938.33,22.147291324277656,0.006590976689400657,333,6,-1,938.33,timer,HGV
56,576.11,21.7180304345769,-0.007816878476210001,1,0,-1,576.11,timer,electric car
56,601.55,22.661415166209547,-0.011224086065653694,334,6,-1,601.55,timer,HGV
56,222.58,21.845604820833547,0.0055950514848410815,2,0,-1,222.58,timer,electric car
56,227.94,22.367282850846728,-0.002693287154234514,335,6,-1,227.94,timer,HGV
57,1057.61,25.12865584791443,-0.036910900755668545,0,6,-1,1057.61,timer,electric car
57,960.48,22.15388230096706,0.006590976689400657,333,6,-1,960.48,timer,HGV
57,597.82,21.71021355610069,-0.007816878476210001,1,0,-1,597.82,timer,electric car
57,624.21,22.650191080143895,-0.011224086065653694,334,6,-1,624.21,timer,HGV
57,244.43,21.85119987231839,0.0055950514848410815,2,0,-1,244.43,timer,electric car
57,250.31,22.364498842440984,-0.0028066887186233326,335,6,-1,250.31,timer,HGV
58,1082.72,25.091744947158762,-0.036910900755668545,0,6,-1,1082.72,timer,electric car
58,982.64,22.16047327765646,0.006590976689400657,333,6,-1,982.64,timer,HGV
58,619.53,21.70239667762448,-0.007816878476210001,1,0,-1,619.53,timer,electric car
58,646.85,22.638966994078242,-0.011224086065653694,334,6,-1,646.85,timer,HGV
58,266.28,21.856794923803232,0.0055950514848410815,2,0,-1,266.28,timer,electric car
