t,x,v,a,id,lane,oldLane,pos,event,Vehicle
0,0,0,0,0,0,-1,1000,lane info,No vehicle yet
0,0,0,0,0,1,-1,700,lane info,No vehicle yet
0,0,0,0,0,2,-1,300,lane info,No vehicle yet
0,0,0,0,0,3,-1,1000,lane info,No vehicle yet
0,0,0,0,0,4,-1,1000,lane info,No vehicle yet
0,0,0,0,0,5,-1,700,lane info,No vehicle yet
0,0,0,0,0,6,-1,300,lane info,No vehicle yet
0,0,0,0,0,7,-1,1000,lane info,No vehicle yet
0,0,0,0,0,8,-1,1000,lane info,No vehicle yet
0,0,0,0,0,9,-1,700,lane info,No vehicle yet
0,0,0,0,0,10,-1,300,lane info,No vehicle yet
1.498830567783359,0,30.370708036594223,0,0,-1,-1,0,start,HGV
1.498830567783359,0,30.370708036594223,0,0,8,-1,0,enter lane,HGV
2,15.22,30.370708036594223,0.0,0,8,-1,15.22,timer,HGV
3,45.59,30.370708036594223,0.0,0,8,-1,45.59,timer,HGV
4,75.96,30.370708036594223,0.0,0,8,-1,75.96,timer,HGV
5,106.33,30.370708036594223,0.0,0,8,-1,106.33,timer,HGV
6,136.7,30.370708036594223,0.0,0,8,-1,136.7,timer,HGV
7,167.07,30.370708036594223,0.0,0,8,-1,167.07,timer,HGV
7.278840572909377,0,33.42407578753894,0,1,-1,-1,0,start,HGV
7.278840572909377,0,33.42407578753894,0,1,8,-1,0,enter lane,HGV
8,197.44,30.370708036594223,0.0,0,8,-1,197.44,timer,HGV
8,24.1,33.42407578753894,0.0,1,8,-1,24.1,timer,HGV
8,24.1,33.42407578753894,0.0,1,8,-1,24.1,change fast,HGV
8,24.1,33.42407578753894,0.0,1,0,8,24.1,enter lane 0,HGV
9,227.81,30.370708036594223,0.0,0,8,-1,227.81,timer,HGV
9,58.02,34.42407578753894,1,1,0,8,58.02,timer,HGV
10,258.18,30.370708036594223,0.0,0,8,-1,258.18,timer,HGV
10,92.94,35.42407578753894,1,1,0,8,92.94,timer,HGV
11,128.86,36.42407578753894,1,1,0,8,128.86,leave lane 8,HGV
11,128.86,36.42407578753894,0,1,0,-1,128.86,done change fast,HGV
11,288.55,30.370708036594223,0.0,0,8,-1,288.55,timer,HGV
11,128.86,36.42407578753894,0,1,0,-1,128.86,timer,HGV
12,318.92,30.370708036594223,0.0,0,8,-1,318.92,timer,HGV
12,165.28,36.42407578753894,0,1,0,-1,165.28,timer,HGV
13,349.29,30.370708036594223,0.0,0,8,-1,349.29,timer,HGV
13,201.7,36.42407578753894,0,1,0,-1,201.7,timer,HGV
13.040202239061497,0,33.663606646689416,0,2,-1,-1,0,start,HGV
13.040202239061497,0,33.663606646689416,0,2,8,-1,0,enter lane,HGV
14,379.66,30.370708036594223,0.0,0,8,-1,379.66,timer,HGV
14,238.12,36.42407578753894,0,1,0,-1,238.12,timer,HGV
14,32.31,33.663606646689416,0.0,2,8,-1,32.31,timer,HGV
15,410.03,30.370708036594223,0.0,0,8,-1,410.03,timer,HGV
15,274.54,36.42407578753894,0,1,0,-1,274.54,timer,HGV
15,65.97,33.663606646689416,0.0,2,8,-1,65.97,timer,HGV
16,440.4,30.370708036594223,0.0,0,8,-1,440.4,timer,HGV
16,310.96,36.42407578753894,0,1,0,-1,310.96,timer,HGV
16,99.63,33.663606646689416,0.0,2,8,-1,99.63,timer,HGV
17,470.77,30.370708036594223,0.0,0,8,-1,470.77,timer,HGV
17,347.38,36.42407578753894,0,1,0,-1,347.38,timer,HGV
17,133.29,33.663606646689416,0.0,2,8,-1,133.29,timer,HGV
18,501.14,30.370708036594223,0.0,0,8,-1,501.14,timer,HGV
18,383.8,36.42407578753894,0,1,0,-1,383.8,timer,HGV
18,166.95,33.663606646689416,0.0,2,8,-1,166.95,timer,HGV
19,531.51,30.370708036594223,0.0,0,8,-1,531.51,timer,HGV
19,420.22,36.42407578753894,0,1,0,-1,420.22,timer,HGV
19,200.61,33.663606646689416,0.0,2,8,-1,200.61,timer,HGV
20,561.88,30.370708036594223,0.0,0,8,-1,561.88,timer,HGV
20,456.64,36.42407578753894,0,1,0,-1,456.64,timer,HGV
20,234.27,33.663606646689416,0.0,2,8,-1,234.27,timer,HGV
21,592.25,30.370708036594223,0.0,0,8,-1,592.25,timer,HGV
21,493.06,36.42407578753894,0,1,0,-1,493.06,timer,HGV
21,267.93,33.663606646689416,0.0,2,8,-1,267.93,timer,HGV
22,622.62,30.370708036594223,0.0,0,8,-1,622.62,timer,HGV
22,529.48,36.42407578753894,0,1,0,-1,529.48,timer,HGV
22,301.59,33.663606646689416,0.0,2,8,-1,301.59,timer,HGV
22.50372303046813,0,33.15744642359388,0,3,-1,-1,0,start,HGV
22.50372303046813,0,33.15744642359388,0,3,8,-1,0,enter lane,HGV
23,652.99,30.370708036594223,0.0,0,8,-1,652.99,timer,HGV
23,565.9,36.42407578753894,0,1,0,-1,565.9,timer,HGV
23,335.26,33.663606646689416,0.0,2,8,-1,335.26,timer,HGV
23,16.46,33.15744642359388,0.0,3,8,-1,16.46,timer,HGV
23.53100361867938,0,35.52252055896548,0,4,-1,-1,0,start,HGV
23.53100361867938,0,35.52252055896548,0,4,8,-1,0,enter lane,HGV
24,683.36,30.370708036594223,0.0,0,8,-1,683.36,timer,HGV
24,602.32,36.42407578753894,0,1,0,-1,602.32,timer,HGV
24,368.92,33.663606646689416,0.0,2,8,-1,368.92,timer,HGV
24,49.61,33.15744642359388,0.0,3,8,-1,49.61,timer,HGV
24,16.66,35.52252055896548,0.0,4,8,-1,16.66,timer,HGV
24,16.66,35.52252055896548,0.0,4,8,-1,16.66,change fast,HGV
24,16.66,35.52252055896548,0.0,4,0,8,16.66,enter lane 0,HGV
24.8414560866857,0,31.982015697480023,0,5,-1,-1,0,start,HGV
24.8414560866857,0,31.982015697480023,0,5,8,-1,0,enter lane,HGV
25,713.74,30.370708036594223,0.0,0,8,-1,713.74,timer,HGV
25,638.74,36.42407578753894,0,1,0,-1,638.74,timer,HGV
25,402.59,33.663606646689416,0.0,2,8,-1,402.59,timer,HGV
25,82.77,33.15744642359388,0.0,3,8,-1,82.77,timer,HGV
25,52.68,36.52252055896548,1.0,4,0,8,52.68,timer,HGV
25,5.07,31.982015697480023,0.0,5,8,-1,5.07,timer,HGV
25.6373722187031,0,34.349384009754154,0,6,-1,-1,0,start,HGV
25.6373722187031,0,34.349384009754154,0,6,8,-1,0,enter lane,HGV
25.6373722187031,0,34.349384009754154,0,6,8,-1,0,brake,HGV
26,744.11,30.370708036594223,0.0,0,8,-1,744.11,timer,HGV
26,675.16,36.42407578753894,0,1,0,-1,675.16,timer,HGV
26,436.26,33.663606646689416,0.0,2,8,-1,436.26,timer,HGV
26,115.92,33.15744642359388,0.0,3,8,-1,115.92,timer,HGV
26,89.7,37.52252055896548,1.0,4,0,8,89.7,timer,HGV
26,37.05,31.982015697480023,0.0,5,8,-1,37.05,timer,HGV
26,12.36,33.6928145565119,-2.5,6,8,-1,12.36,timer,HGV
26.78431954361275,38.03,31.982015697480023,0,6,8,-1,38.03,brake end,HGV
26.91288477453901,0,31.266962027414824,0,7,-1,-1,0,start,HGV
26.91288477453901,0,31.266962027414824,0,7,8,-1,0,enter lane,HGV
27,127.72,38.52252055896548,1.0,4,0,8,127.72,leave lane 8,HGV
27,127.72,38.52252055896548,0,4,0,-1,127.72,done change fast,HGV
27,774.48,30.370708036594223,0.0,0,8,-1,774.48,timer,HGV
27,711.58,36.42407578753894,0,1,0,-1,711.58,timer,HGV
27,469.92,33.663606646689416,0.0,2,8,-1,469.92,timer,HGV
27,149.08,33.15744642359388,0.0,3,8,-1,149.08,timer,HGV
27,127.72,38.52252055896548,0,4,0,-1,127.72,timer,HGV
27,69.03,31.982015697480023,0.0,5,8,-1,69.03,timer,HGV
27,44.93,31.982015697480023,0.0,6,8,-1,44.93,timer,HGV
27,2.72,31.266962027414824,0.0,7,8,-1,2.72,timer,HGV
28,804.85,30.370708036594223,0.0,0,8,-1,804.85,timer,HGV
28,748.0,36.42407578753894,0,1,0,-1,748.0,timer,HGV
28,503.58,33.663606646689416,0.0,2,8,-1,503.58,timer,HGV
28,182.24,33.15744642359388,0.0,3,8,-1,182.24,timer,HGV
28,166.24,38.52252055896548,0,4,0,-1,166.24,timer,HGV
28,101.01,31.982015697480023,0.0,5,8,-1,101.01,timer,HGV
28,76.91,31.982015697480023,0.0,6,8,-1,76.91,timer,HGV
28,33.99,31.266962027414824,0.0,7,8,-1,33.99,timer,HGV
